Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-11-20,163.51,167.99,163.51,167.44,79,13056.51,GAZP,MOEX,167.44,0,0
2023-11-20,165.2,166.64,164.64,165.51,12648660,2096927735.5,GAZP,MOEX,165.51,0,0
2023-11-21,164.52,167.44,164.51,167.39,47,7760.68,GAZP,MOEX,167.39,0,0
2023-11-21,165.4,165.68,164.5,165.15,11427460,1886646575.1,GAZP,MOEX,165.15,0,0
2023-11-22,165.02,165.5,163.29,165.01,72,11847.83,GAZP,MOEX,165.01,0,0
2023-11-22,165.3,166.2,164.82,165.37,11543230,1910525065.5,GAZP,MOEX,165.37,0,0
2023-11-23,164.51,165.66,164.05,164.15,31,5098.7,GAZP,MOEX,164.15,0,0
2023-11-23,165.37,165.69,164.02,164.11,10824190,1785149063.9,GAZP,MOEX,164.11,0,0
2023-11-24,165.0,167.99,164.3,166.0,39,6424.29,GAZP,MOEX,166.0,0,0
2023-11-24,164.2,165.19,164.1,164.71,13584670,2237577969.7,GAZP,MOEX,164.71,0,0
2023-11-27,164.0,166.27,161.03,162.06,63,10298.01,GAZP,MOEX,162.06,0,0
2023-11-27,165.19,165.37,162.01,162.79,23704520,3873568765.4,GAZP,MOEX,162.79,0,0
2023-11-28,162.91,164.83,161.55,164.21,16819340,2743637587.2,GAZP,MOEX,164.21,0,0
2023-11-28,163.6,167.38,161.51,167.13,49,7990.56,GAZP,MOEX,167.13,0,0
2023-11-29,164.0,165.88,163.25,165.64,68,11138.4,GAZP,MOEX,165.64,0,0
2023-11-29,164.0,165.63,162.71,163.17,17322090,2842070131.7,GAZP,MOEX,163.17,0,0
2023-11-30,163.01,163.99,161.53,163.22,116,18808.08,GAZP,MOEX,163.22,0,0
2023-11-30,163.17,164.62,162.12,163.23,12315690,2012156766.1,GAZP,MOEX,163.23,0,0
2023-12-01,164.5,165.75,162.01,162.43,48,7794.85,GAZP,MOEX,162.43,0,0
2023-12-01,163.22,164.22,162.56,162.61,10935260,1787548136.1,GAZP,MOEX,162.61,0,0
2023-12-04,166.97,166.97,160.61,160.61,83,13384.14,GAZP,MOEX,160.61,0,0
2023-12-04,162.48,162.48,159.81,160.01,22003990,3543152329.7,GAZP,MOEX,160.01,0,0
2023-12-05,161.0,165.74,159.41,159.92,88,14100.05,GAZP,MOEX,159.92,0,0
2023-12-05,160.17,161.44,159.1,160.46,15034370,2413459647.4,GAZP,MOEX,160.46,0,0
2023-12-06,160.73,161.41,158.5,158.74,15554310,2485076747.2,GAZP,MOEX,158.74,0,0
2023-12-06,160.1,165.98,159.02,165.98,65,10404.32,GAZP,MOEX,165.98,0,0
2023-12-07,160.0,164.99,157.01,163.1,87,13936.65,GAZP,MOEX,163.1,0,0
2023-12-07,158.8,164.77,157.26,163.38,48532400,7846300877.1,GAZP,MOEX,163.38,0,0
2023-12-08,164.99,165.49,160.12,161.01,90,14621.3,GAZP,MOEX,161.01,0,0
2023-12-08,163.9,164.17,160.5,161.5,20195940,3269043000.0,GAZP,MOEX,161.5,0,0
2023-12-11,161.5,167.58,160.0,164.96,85,13914.7,GAZP,MOEX,164.96,0,0
2023-12-11,161.47,167.14,160.19,164.87,53056350,8755452181.6,GAZP,MOEX,164.87,0,0
2023-12-12,160.0,164.98,159.15,162.9,70,11413.19,GAZP,MOEX,162.9,0,0
2023-12-12,164.87,165.54,161.82,162.46,25407880,4154114158.8,GAZP,MOEX,162.46,0,0
2023-12-13,163.0,164.39,160.5,162.85,95,15452.13,GAZP,MOEX,162.85,0,0
2023-12-13,161.99,164.5,161.82,163.92,13393230,2192310756.6,GAZP,MOEX,163.92,0,0
2023-12-14,164.05,164.76,160.81,160.89,16996980,2765389227.8,GAZP,MOEX,160.89,0,0
2023-12-14,165.2,165.2,161.0,161.0,81,13158.76,GAZP,MOEX,161.0,0,0
2023-12-15,160.5,165.46,160.01,161.25,63,10231.79,GAZP,MOEX,161.25,0,0
2023-12-15,161.05,164.42,161.02,164.2,23929260,3901661003.6,GAZP,MOEX,164.2,0,0
2023-12-18,165.44,168.38,162.03,166.6,76,12578.34,GAZP,MOEX,166.6,0,0
2023-12-18,164.99,167.32,164.99,167.0,33132260,5510130065.8,GAZP,MOEX,167.0,0,0
2023-12-19,166.56,167.94,165.05,165.06,74,12263.18,GAZP,MOEX,165.06,0,0
2023-12-19,167.17,168.89,165.12,165.48,38430430,6392815762.3,GAZP,MOEX,165.48,0,0
2023-12-20,165.0,165.0,163.0,163.9,57,9322.92,GAZP,MOEX,163.9,0,0
2023-12-20,165.33,165.33,163.12,163.56,27649170,4537205894.4,GAZP,MOEX,163.56,0,0
2023-12-21,163.32,163.71,161.19,161.57,26473840,4294570391.5,GAZP,MOEX,161.57,0,0
2023-12-21,164.5,165.5,161.26,161.3,60,9729.1,GAZP,MOEX,161.3,0,0
2023-12-22,161.91,163.2,161.62,162.09,15417240,2504497747.3,GAZP,MOEX,162.09,0,0
2023-12-22,161.74,161.74,161.74,161.74,26652400,4310759176.0,GAZP,MOEX,161.74,0,0
2023-12-22,162.0,163.77,161.62,163.44,59,9578.9,GAZP,MOEX,163.44,0,0
2023-12-25,162.01,163.08,160.74,160.74,83,13412.4,GAZP,MOEX,160.74,0,0
2023-12-25,162.49,162.77,160.4,161.09,22398910,3620946364.8,GAZP,MOEX,161.09,0,0
