Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-11-20,584.5,586.15,579.85,581.5,2183257,1272556850.1,ROSN,MOEX,581.5,0,0
2023-11-21,581.0,584.6,576.4,583.4,2115754,1227484803.45,ROSN,MOEX,583.4,0,0
2023-11-22,582.75,586.6,580.05,581.75,2722059,1586809482.8,ROSN,MOEX,581.75,0,0
2023-11-23,581.6,582.7,580.0,580.8,1298090,754233510.15,ROSN,MOEX,580.8,0,0
2023-11-24,581.2,584.5,571.5,578.85,3449893,1993744001.3,ROSN,MOEX,578.85,0,0
2023-11-27,578.2,583.85,574.5,578.0,2731793,1582817902.85,ROSN,MOEX,578.0,0,0
2023-11-28,576.0,589.9,573.0,589.9,3429134,1993811206.9,ROSN,MOEX,589.9,0,0
2023-11-29,589.9,594.0,583.45,593.45,3570342,2102096536.8,ROSN,MOEX,593.45,0,0
2023-11-30,598.0,598.0,582.05,584.3,5645836,3316585835.6,ROSN,MOEX,584.3,0,0
2023-12-01,583.5,584.05,574.05,575.15,2625750,1523720933.0,ROSN,MOEX,575.15,0,0
2023-12-04,573.85,574.9,562.15,565.0,3385782,1928101400.85,ROSN,MOEX,565.0,0,0
2023-12-05,567.1,576.75,563.0,574.35,2249090,1282644935.75,ROSN,MOEX,574.35,0,0
2023-12-06,574.8,575.8,563.0,565.55,2262240,1284247850.2,ROSN,MOEX,565.55,0,0
2023-12-07,564.5,570.65,558.5,560.6,4015589,2261725668.45,ROSN,MOEX,560.6,0,0
2023-12-08,563.0,567.15,560.0,564.7,1606316,904986539.25,ROSN,MOEX,564.7,0,0
2023-12-11,564.7,568.0,553.55,555.0,2440767,1368524001.35,ROSN,MOEX,555.0,0,0
2023-12-12,554.55,557.4,545.05,549.55,2542798,1400645152.8,ROSN,MOEX,549.55,0,0
2023-12-13,546.0,556.55,544.3,555.85,1743135,960317798.95,ROSN,MOEX,555.85,0,0
2023-12-14,557.4,558.6,535.65,535.7,3418325,1861883585.0,ROSN,MOEX,535.7,0,0
2023-12-15,535.5,563.0,535.5,561.5,3949304,2168869350.05,ROSN,MOEX,561.5,0,0
2023-12-18,568.3,569.5,563.1,566.65,3630477,2056514963.9,ROSN,MOEX,566.65,0,0
2023-12-19,566.65,574.8,564.25,574.0,3118813,1773894557.65,ROSN,MOEX,574.0,0,0
2023-12-20,574.25,584.9,573.2,578.6,3382309,1963751151.8,ROSN,MOEX,578.6,0,0
2023-12-21,581.2,581.2,569.5,577.1,2984797,1716910896.4,ROSN,MOEX,577.1,0,0
2023-12-22,580.0,585.45,578.15,583.75,2581816,1504713108.05,ROSN,MOEX,583.75,0,0
2023-12-22,575.0,575.0,575.0,575.0,1830200,1052365000.0,ROSN,MOEX,575.0,0,0
2023-12-25,585.85,588.45,580.0,584.45,1694085,990000111.9,ROSN,MOEX,584.45,0,0
2023-12-26,585.0,592.0,583.0,589.3,2232310,1312060241.25,ROSN,MOEX,589.3,0,0
2023-12-27,590.45,596.65,589.5,594.55,2902895,1723756745.55,ROSN,MOEX,594.55,0,0
2023-12-28,596.7,596.7,589.1,591.9,1830269,1085160085.4,ROSN,MOEX,591.9,0,0
2023-12-29,591.6,595.25,586.35,593.2,1878824,1113252561.2,ROSN,MOEX,593.2,0,0
2024-01-03,595.6,604.0,594.75,604.0,1945771,1167127638.7,ROSN,MOEX,604.0,0,0
2024-01-04,605.8,605.8,600.5,601.15,1193768,719452298.05,ROSN,MOEX,601.15,0,0
2024-01-05,602.6,605.55,599.0,604.05,1964815,1183635428.75,ROSN,MOEX,604.05,0,0
2024-01-08,605.15,606.95,600.5,602.3,1806126,1088219663.8,ROSN,MOEX,602.3,0,0
2024-01-09,603.15,603.75,597.85,600.55,3249471,1950143955.4,ROSN,MOEX,600.55,0,0
2024-01-10,598.1,601.95,598.1,601.0,5087676,3055274393.8,ROSN,MOEX,601.0,0,0
