Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-11-20,285.52,288.22,279.0,280.09,61,17133.22,SBER,MOEX,280.09,0,0
2023-11-20,281.96,284.2,281.61,282.91,25291010,7159259895.1,SBER,MOEX,282.91,0,0
2023-11-21,282.03,286.99,281.02,284.81,102,28792.52,SBER,MOEX,284.81,0,0
2023-11-21,282.3,283.82,281.66,282.79,19099390,5398749981.4,SBER,MOEX,282.79,0,0
2023-11-22,287.73,287.73,280.92,281.12,67,19027.84,SBER,MOEX,281.12,0,0
2023-11-22,283.12,286.67,282.85,286.16,47296890,13495087731.8,SBER,MOEX,286.16,0,0
2023-11-23,284.79,287.8,284.79,285.26,79,22582.28,SBER,MOEX,285.26,0,0
2023-11-23,286.16,287.77,285.04,286.19,27724080,7943750424.6,SBER,MOEX,286.19,0,0
2023-11-24,287.5,291.13,285.09,291.13,89,25453.46,SBER,MOEX,291.13,0,0
2023-11-24,286.49,287.5,285.11,286.85,26067870,7464158319.9,SBER,MOEX,286.85,0,0
2023-11-27,282.31,288.57,272.08,283.72,175,49883.76,SBER,MOEX,283.72,0,0
2023-11-27,287.4,289.0,278.88,282.33,79146090,22471824107.9,SBER,MOEX,282.33,0,0
2023-11-28,282.4,282.51,277.32,279.91,45507410,12723607276.7,SBER,MOEX,279.91,0,0
2023-11-28,286.77,286.77,277.72,280.87,59,16498.74,SBER,MOEX,280.87,0,0
2023-11-29,290.86,290.86,275.02,277.61,119,32969.87,SBER,MOEX,277.61,0,0
2023-11-29,279.36,280.56,276.2,276.8,29820830,8285652355.3,SBER,MOEX,276.8,0,0
2023-11-30,276.99,277.79,272.32,275.73,37,10147.36,SBER,MOEX,275.73,0,0
2023-11-30,276.7,278.65,272.75,277.5,55873540,15391411364.4,SBER,MOEX,277.5,0,0
2023-12-01,273.41,280.98,273.4,273.62,57,15666.88,SBER,MOEX,273.62,0,0
2023-12-01,277.0,277.98,273.55,273.97,31660970,8726777005.9,SBER,MOEX,273.97,0,0
2023-12-04,277.95,280.95,266.84,266.84,111,30152.07,SBER,MOEX,266.84,0,0
2023-12-04,273.6,274.95,270.52,270.96,37700740,10274823032.6,SBER,MOEX,270.96,0,0
